Organization Name,address1,address2,city,State,zip,ServiceSummary
Downtown Ministerium,1805 N 12TH ST,,HARRISBURG,PA,17103,Emergency Shelter
Downtown Daily Bread,310 N 3RD ST,,HARRISBURG,PA,17101,Emergency Shelter
Catholic Charities,120 WILLOW RD,,HARRISBURG,PA,17109,Emergency Shelter
Brethren Housing Association,219 HUMMEL ST,,HARRISBURG,PA,17104,Transitional Housing
Brethren Housing Association,219 Hummel Street,,HARRISBURG,PA,17104,Permanent Supportive Housing
"Volunteers of America of Pennsylvania, Inc.",2122 Walnut St,,HARRISBURG,PA,17103,Rapid Re-Housing
YWCA of Greater Harrisburg,1101 MARKET ST,,HARRISBURG,PA,17103,Other Permanent Housing
YWCA of Greater Harrisburg,1101 MARKET ST,,HARRISBURG,PA,17103,Rapid Re-Housing
YWCA of Greater Harrisburg,1101 Market St,,Harrisburg,PA,17103,Transitional Housing
YWCA of Greater Harrisburg,1101 Market St,,Harrisburg,PA,17103,Emergency Shelter
"Volunteers of America of Pennsylvania, Inc.",2122 WALNUT ST,,HARRISBURG,PA,17103,Rapid Re-Housing
Salvation Army Harrisonburg,895 JEFFERSON ST,,HARRISONBURG,VA,22802,Emergency Shelter
Open Doors,176 W MARKET ST,,HARRISONBURG,VA,22801,Emergency Shelter
"Mercy House, Inc.",PO BOX 1478,,HARRISONBURG,VA,22803,Rapid Re-Housing
"Mercy House, Inc.",305 N HIGH ST,,HARRISONBURG,VA,22802,Rapid Re-Housing
"Mercy House, Inc.",305 N HIGH ST,,HARRISONBURG,VA,22802,Emergency Shelter
Harrisonburg Redevelopment & Housing Authority (HRHA),21 ELON RHODES LN,,HARRISONBURG,VA,22802,Permanent Supportive Housing
Harrisonburg Redevelopment & Housing Authority (HRHA),21 ELON RHODES LN,,HARRISONBURG,VA,22802,Permanent Supportive Housing
MDHHS,,204 Washington St,HART,MI,49420,Rapid Re-Housing
YHDP Connecticut,225 South Marshall Street,,Hartford,CT,6105,Transitional Housing
Capitol Region Mental Health Center,500 VINE ST,,HARTFORD,CT,6112,Permanent Supportive Housing
Chrysalis Center,TBD,,Hartford,CT,6101,Permanent Supportive Housing
Chrysalis Center,255 Homestead Avenue,,Hartford,CT,6119,Permanent Supportive Housing
South Park Inn,75 MAIN ST,,HARTFORD,CT,6106,Transitional Housing
Salvation Army (Hartford),225 S MARSHALL ST,,HARTFORD,CT,6105,Emergency Shelter
ImmaCare,560 PARK ST,,HARTFORD,CT,6106,Emergency Shelter
CHF Adult Mental Health,501 Granby Street,,Hartford,CT,6112,Permanent Supportive Housing
Hands on Hartford,55 Bartholomew Ave,,Hartford,CT,6119,Permanent Supportive Housing
Mercy Housing & Shelter,,,Hartford,CT,6106,Transitional Housing
Mercy Housing & Shelter,211 WETHERSFIELD AVE,,HARTFORD,CT,6114,Permanent Supportive Housing
Mercy Housing & Shelter,211 WETHERSFIELD AVE,,HARTFORD,CT,6114,Permanent Supportive Housing
South Park Inn,847 ASYLUM AVE,,HARTFORD,CT,6105,Permanent Supportive Housing
ImmaCare,1 HUNGINGTON ST,,HARTFORD,CT,6106,Permanent Supportive Housing
ImmaCare,1 HUNTINGTON ST,,HARTFORD,CT,6106,Permanent Supportive Housing
ImmaCare,160 HUNGERFORD ST,,HARTFORD,CT,6106,Permanent Supportive Housing
ImmaCare,903 Asylum Ave,,HARTFORD,CT,6106,Permanent Supportive Housing
Hands on Hartford,123 RETREAT AVE,,HARTFORD,CT,6106,Permanent Supportive Housing
Community Renewal Team,8 STONINGTON ST,,HARTFORD,CT,6106,Permanent Supportive Housing
YWCA Hartford Region,135 BROAD ST,,HARTFORD,CT,6105,Permanent Supportive Housing
YWCA Hartford Region,135 BROAD ST,,HARTFORD,CT,6105,Permanent Supportive Housing
Chrysalis Center,,,HARTFORD,CT,6112,Permanent Supportive Housing
Chrysalis Center,255 HOMESTEAD AVE,,HARTFORD,CT,6112,Permanent Supportive Housing
Chrysalis Center,815 WETHERSFIELD AVE,,HARTFORD,CT,6114,Permanent Supportive Housing
Catholic Charities,896 ASYLUM AVE,,HARTFORD,CT,6105,Permanent Supportive Housing
Capitol Region Mental Health Center,67 PLINY ST,,HARTFORD,CT,6120,Permanent Supportive Housing
Capitol Region Mental Health Center,2197 MAIN ST,,HARTFORD,CT,6120,Permanent Supportive Housing
Capitol Region Mental Health Center,,,HARTFORD,CT,6106,Permanent Supportive Housing
Capitol Region Mental Health Center,525 HUDSON ST,,HARTFORD,CT,6106,Permanent Supportive Housing
Mercy Housing & Shelter,118 MAIN ST,,HARTFORD,CT,6106,Transitional Housing
YWCA Hartford Region,135 BROAD ST,,HARTFORD,CT,6105,Emergency Shelter
The Connection Inc.,100 Roscommon Drive,,Hartford,CT,6112,Emergency Shelter
Salvation Army (Hartford),225 South Marshall Street,,Hartford,CT,6105,Emergency Shelter
Salvation Army (Hartford),225 S MARSHALL ST,,HARTFORD,CT,6105,Emergency Shelter
Open Hearth Association,437 SHELDON ST,,HARTFORD,CT,6106,Emergency Shelter
Community Renewal Team,34 HUYSHOPE AVE,,HARTFORD,CT,6106,Emergency Shelter
South Park Inn,75 Main Street,,Hartford,CT,6106,Short Term Housing
South Park Inn,75 Main Street,,Hartford,CT,6105,Emergency Shelter
South Park Inn,75 MAIN ST,,HARTFORD,CT,6106,Emergency Shelter
Aunt Martha's Health & Wellness,15420 Dixie Hwy,,Harvey,IL,60426,Emergency Shelter
Aunt Martha's Health & Wellness,15420 Dixie Hwy,,Harvey,IL,60426,Rapid Re-Housing
National Alliance for Mentally Ill,2051 8TH ST,,HARVEY,LA,70113,Permanent Supportive Housing
Gateway,4103 LAC COUTURE DR,,HARVEY,LA,70058,Transitional Housing
Hope Center Incorporated,2245 MANHATTAN BLVD STE 100,,HARVEY,LA,70058,Rapid Re-Housing
Maryland Living Center,2727 W 2ND ST,,HASTINGS,NE,68901,Transitional Housing
"Crossroads Rescue Mission, BOS",1005 East 5th,,Hastings,NE,68901,Transitional Housing
Maryland Living Center,724 W. 7th Street,,Hastings,NE,68901,Emergency Shelter
"Crossroads Rescue Mission, BOS",702 W 14TH ST,,Hastings,NE,68901,Emergency Shelter
Pine Belt Mental Healthcare Resources,4507 US 49,,Hattiesburg,MS,39401,Rapid Re-Housing
Region XII Commission on Mental Health and Retardation,4507 U S HIGHWAY 49,,HATTIESBURG,MS,39401,Transitional Housing
AIDS Services Coalition,209 S 29TH AVE APT 30,,HATTIESBURG,MS,39401,Permanent Supportive Housing
AIDS Services Coalition,121 COLLEGE ST,,HATTIESBURG,MS,39401,Permanent Supportive Housing
Veterans Northeast Outreach Center,61 TEMPLE ST,,HAVERHILL,MA,1832,Transitional Housing
Emmaus Inc.,116-118 Emerson ST,,Haverhill,MA,1801,Permanent Supportive Housing
MA Dept. of Housing & Comm. Develop.,65 CEDAR ST,,HAVERHILL,MA,1830,Permanent Supportive Housing
Emmaus Inc.,127 How Street,,Haverhill,MA,1830,Permanent Supportive Housing
Emmaus Inc.,127 HOW ST,,HAVERHILL,MA,1830,Emergency Shelter
Emmaus Inc.,150 HOW ST,,HAVERHILL,MA,1830,Emergency Shelter
Emmaus Inc.,41 WELCOME ST,,HAVERHILL,MA,1830,Permanent Supportive Housing
Emmaus Inc.,449 MAIN ST,,HAVERHILL,MA,1830,Other Permanent Housing
Veterans Northeast Outreach Center,134 CEDAR ST,,HAVERHILL,MA,1830,Other Permanent Housing
Veterans Northeast Outreach Center,3 BEACON ST,,HAVERHILL,MA,1832,Other Permanent Housing
Veterans Northeast Outreach Center,,,Haverhill,MA,1830,Permanent Supportive Housing
Catholic Charities Community Services of Rockland Inc.,78 Hudson Avenue,,Haverstraw,NY,10927,Emergency Shelter
Open Arms Inc.,5759 Sharp street,,HAVERSTRAW,NY,10927,Transitional Housing
Open Arms Inc.,5759 Sharp street,,HAVERSTRAW,NY,10927,Transitional Housing
Open Arms Inc.,74 HUDSON AVE,,HAVERSTRAW,NY,10927,Transitional Housing
HRDC District 4,2229 5th Avenue,,Havre,MT,59501,Emergency Shelter
HRDC District 4,2229 5TH AVE,,HAVRE,MT,59501,Rapid Re-Housing
Sanctuary of Hope,"13245 Hawthorne Blvd., Ste 202",NULL,Hawthorne,CA,90250,Transitional Housing
Hathaway-Sycamores Child and Family Services,13007 Kornblum Ave.,NULL,Hawthorne,CA,90250,Transitional Housing
Housing Authority of Alameda County,22941 ATHERTON ST,,HAYWARD,CA,94541,Permanent Supportive Housing
Bay Area Community Services (BACS),777 B Street,Depot Road and Whitesell Street.,Hayward,CA,94541,Emergency Shelter
Alameda County,224 W WINTON AVE STE 108,,HAYWARD,CA,94544,Permanent Supportive Housing
Alameda County,224 W. Winton Ave,,Hayward,CA,94544,Permanent Supportive Housing
Alameda County,224 W. Winton Ave,,Hayward,CA,94544,Permanent Supportive Housing
FESCO,22245 Main St,,Hayward,CA,94541,Rapid Re-Housing
FESCO,22671 3rd Street,,Hayward,CA,94541,Emergency Shelter
South Hayward Parish,27287 Patrick Ave,,Hayward,CA,95444,Emergency Shelter
BOSS,258 W A ST,,HAYWARD,CA,94541,Emergency Shelter
BOSS,21757 MEEKLAND AVE,,HAYWARD,CA,94541,Permanent Supportive Housing
Alameda County,224 W WINTON AVE STE 108,,HAYWARD,CA,94544,Permanent Supportive Housing
Alameda County,224 W WINTON AVE STE 108,,HAYWARD,CA,94544,Permanent Supportive Housing
Alameda County,224 W WINTON AVE STE 108,,HAYWARD,CA,94544,Permanent Supportive Housing
Alameda County,224 W Winton Ave,,Hayward,CA,94544,Permanent Supportive Housing
RCD,20365 Concord Ave,,Hayward,CA,94541,Permanent Supportive Housing
FESCO,22671 3RD ST,,HAYWARD,CA,94541,Permanent Supportive Housing
FESCO,21568 BANYAN ST,,HAYWARD,CA,94541,Transitional Housing
Eden Housing,28901 MISSION BLVD,,HAYWARD,CA,94544,Permanent Supportive Housing
The Salvation Army of Sawyer County,15693 DAVIS AVE,,HAYWARD,WI,54843,Emergency Shelter
Kentucky River Community Care(381),115 Rockwood Lane,,Hazard,KY,41701,Rapid Re-Housing
Kentucky River Community Care(381),115 Rockwood Lane,,Hazard,KY,41701,Rapid Re-Housing
Kentucky River Community Care(381),115 ROCKWOOD LN,,HAZARD,KY,41701,Rapid Re-Housing
Kentucky River Community Care(381),115 Rockwood Lane,,Hazard,KY,41701,Rapid Re-Housing
Kentucky River Community Care(381),115 Rockwood Lane,,Hazard,KY,41701,Permanent Supportive Housing
Kentucky River Community Care(381),115 Rockwood Lane,,Hazard,KY,41701,Permanent Supportive Housing
Hazard-Perry County Housing Development Alliance (KRADD),440 HIGH ST,,HAZARD,KY,41701,Other Permanent Housing
Kentucky River Community Care(381),524 E MAIN ST,,HAZARD,KY,41701,Emergency Shelter
Catholic Social Services,214 W. Walnut Street,,Hazleton,PA,18201,Emergency Shelter
Reach for Home,306 EAST ST,,HEALDSBURG,CA,95448,Permanent Supportive Housing
Reach for Home,209 MATHESON ST,,HEALDSBURG,CA,95448,Emergency Shelter
Freedom Way Ministries,PO Box 152,,Heber Springs,AR,72581,Emergency Shelter
Transitional Living Services,10513 Illinois Route 47,,Hebron,IL,60034,Transitional Housing
Volunteers of America,1205 BUTTE AVE,,HELENA,MT,59601,Rapid Re-Housing
YWCA Helena,501 N Park Ave,,Helena,MT,59601,Transitional Housing
Salvation Army of Helena,1905 HENDERSON ST,,HELENA,MT,59601,Transitional Housing
Montana Veteran's Foundation,1112 LESLIE AVE,,HELENA,MT,59601,Transitional Housing
Family Promise of Greater Helena,2814 North Cooke Street,,HELENA,MT,59601,Emergency Shelter
God's Love Inc.,533 N LAST CHANCE GULCH,,HELENA,MT,59601,Transitional Housing
God's Love Inc.,533 N LAST CHANCE GULCH,,HELENA,MT,59601,Emergency Shelter
Florence Crittenton Home and Services,901 N Harris St,,Helena,MT,59601,Transitional Housing
Boyd Andrew Community Services,60 South Last Chance Gulch,,Helena,MT,59601,Transitional Housing
Rocky Mountain Development Council,200 S CRUSE AVE,,HELENA,MT,59601,Rapid Re-Housing
Montana Dept of Commerce Housing Division,301 S PARK AVE,,HELENA,MT,59601,Permanent Supportive Housing
Helena Public Housing Authority,812 Abbey Street,,Helena,MT,59715,Permanent Supportive Housing
Helena Public Housing Authority,812 ABBEY ST,,HELENA,MT,59601,Permanent Supportive Housing
Valley Restart Shelter Inc.,200 E MENLO AVE,,HEMET,CA,92543,Emergency Shelter
United Veterans Beacon House,115 HENRY ST,,HEMPSTEAD,NY,11550,Permanent Supportive Housing
United Veterans Beacon House,111 HENRY ST,,HEMPSTEAD,NY,11550,Permanent Supportive Housing
Mental Health Association of Nassau County,16 MAIN ST,,HEMPSTEAD,NY,11550,Permanent Supportive Housing
Mental Health Association of Nassau County,16 MAIN ST,,HEMPSTEAD,NY,11550,Permanent Supportive Housing
Community Housing Innovations,250 FULTON AVE,,HEMPSTEAD,NY,11550,Permanent Supportive Housing
Community Housing Innovations,250 FULTON AVE,,HEMPSTEAD,NY,11550,Permanent Supportive Housing
Community Housing Innovations,250 FULTON AVE,,HEMPSTEAD,NY,11550,Permanent Supportive Housing
Catholic Charities,216 INGRAHAM BLVD,,HEMPSTEAD,NY,11550,Permanent Supportive Housing
Horizon Hearts,5 Covert Street,,Hempstead,NY,11550,Emergency Shelter
Smilie Hearts,55 Allen Street,,Hempstead,NY,11550,Emergency Shelter
Smilie Hearts,52 Devon Rd.,,Hempstead,NY,11550,Emergency Shelter
Smilie Hearts,14 Gertrude Street,,Hempstead,NY,11550,Emergency Shelter
The Interfaith Nutrition Network,324 MAIN ST,,HEMPSTEAD,NY,11550,Emergency Shelter
The Interfaith Nutrition Network,26 JERUSALEM AVE,,HEMPSTEAD,NY,11550,Emergency Shelter
HDDIC,87 Cruikshank Ave,,Hempstead,NY,11550,Emergency Shelter
HDDIC,560 Front Street,,Hempstead,NY,11550,Emergency Shelter
Glory House,29 Richardson Place,,HEMPSTEAD,NY,11550,Emergency Shelter
Glory House,145 STEWART AVE,,HEMPSTEAD,NY,11550,Emergency Shelter
GOPI,48 Thorne Ave,,Hempstead,NY,11550,Emergency Shelter
Community Housing Innovations,196 CORNELL ST,,HEMPSTEAD,NY,11550,Emergency Shelter
Community Housing Innovations,192 CORNELL ST,,HEMPSTEAD,NY,11550,Emergency Shelter
Broken But Not Destroyed,27 ALBERMARLE,,HEMPSTEAD,NY,11550,Emergency Shelter
"Father Bradley Shelter for Women and Children, Inc (442)",530 Klutey Park Plaza,,Henderson,KY,42420,Rapid Re-Housing
Harbor House Henderson,804 CLAY ST,,HENDERSON,KY,42420,Emergency Shelter
"Father Bradley Shelter for Women and Children, Inc (442)",530 KLUTEY PARK PLAZA,,HENDERSON,KY,42420,Emergency Shelter
Community Partners of Hope (Vance),222 YOUNG ST,,HENDERSON,NC,27536,Emergency Shelter
Community Partners of Hope (Vance),222 YOUNG ST,,HENDERSON,NC,27536,Transitional Housing
HopeLink of Southern Nevada,178 WESTMINSTER WAY,,HENDERSON,NV,89015,Rapid Re-Housing
HopeLink of Southern Nevada,178 WESTMINSTER WAY,,HENDERSON,NV,89015,Rapid Re-Housing
HopeLink of Southern Nevada,178 Westminster Way,,Henderson,NV,89015,Rapid Re-Housing
HopeLink of Southern Nevada,178 Westminster Way,,Henderson,NV,89015,Rapid Re-Housing
Living Grace Homes,1806 SOMERSBY WAY,,HENDERSON,NV,89014,Emergency Shelter
HopeLink of Southern Nevada,178 WESTMINSTER WAY,,HENDERSON,NV,89015,Emergency Shelter
HopeLink of Southern Nevada,178 Westminster Way,,Henderson,NV,89015,Emergency Shelter
Thrive - Henderson,110 Chadwick Square Court,,Hendersonville,NC,28739,Rapid Re-Housing
Hendersonville Rescue Mission (Henderson),414 Ninth Avenue East,,Hendersonville,NC,28792,Transitional Housing
Thrive - Henderson,110 CHADWICK SQUARE CT,,HENDERSONVLLE,NC,28739,Permanent Supportive Housing
Hendersonville Rescue Mission (Henderson),639 MAPLE ST,,HENDERSONVLLE,NC,28792,Emergency Shelter
Herkimer County Department of Social Services,301 N. Washington Street,,Herkimer,NY,13350,Emergency Shelter
Community Action Program of East Central Oregon (3457) [ROCC],721 SE Third St.,,Hermiston,OR,97838,Emergency Shelter
Community Counseling Center of Mercer County,2201 E STATE ST,,HERMITAGE,PA,16148,Emergency Shelter
1736 Family Crisis Center,1736 Monterey Blvd.,NULL,Hermosa Beach,CA,90254,Emergency Shelter
Pathway Homes,3221 West Ox Road,,Herndon,VA,20171,Permanent Supportive Housing
Cornerstones,1025 Knight Lane,,Herndon,VA,20170,Other Permanent Housing
Victor Valley Family Resource Center,16000 YUCCA ST,,HESPERIA,CA,92345,Emergency Shelter
Victor Valley Family Resource Center,16000 Yucca St.,Ste. 100,Hesperia,CA,92345,Transitional Housing
Citrus Health Network,4175 W 20th Ave,,Hialeah,FL,33012,Rapid Re-Housing
Citrus Health Network,4175 W. 20 Ave,,Hialeah,FL,33135,Permanent Supportive Housing
Citrus Health Network,4175 W 20th Ave,,Hialeah,FL,33012,Rapid Re-Housing
Citrus Health Network,4175 W 20th Avenue,,Hialeah,FL,33012,Rapid Re-Housing
Citrus Health Network,4175 W 20th Ave,,Hialeah,FL,33012,Rapid Re-Housing
Citrus Health Network,4175 W 20 Ave,,Hialeah,FL,33012,Rapid Re-Housing
Citrus Health Network,4175 West 20th Avenue,,Hialeah,FL,33012,Rapid Re-Housing
Citrus Health Network,4175 W 20TH AVE,,HIALEAH,FL,33012,Transitional Housing
Citrus Health Network,4175 W 20 Ave,,Hialeah,FL,33135,Permanent Supportive Housing
Citrus Health Network,4175 W 20th Ave,,hialeah,FL,33012,Permanent Supportive Housing
Citrus Health Network,4175 W 20TH AVE,,HIALEAH,FL,33012,Permanent Supportive Housing
Citrus Health Network,4175 W  20 Ave,,Hialeah,FL,33012,Permanent Supportive Housing
Citrus Health Network,4175 W 20TH AVE,,HIALEAH,FL,33012,Permanent Supportive Housing
Citrus Health Network,4175 W 20TH AVE,,HIALEAH,FL,33012,Transitional Housing
Citrus Health Network,1339 SE 9TH AVE,,HIALEAH,FL,33010,Short Term Housing
City of Miami Homeless Assistance Program,4175 W 20th Ave,,Hialeah,FL,33012,Emergency Shelter
Northeast Kansas Community Action Program (NEK-CAP) Inc.,1260 220TH ST,,HIAWATHA,KS,66434,Rapid Re-Housing
Northeast Kansas Community Action Program (NEK-CAP) Inc,PO Box 380,,Hiawatha,KS,66434,Rapid Re-Housing
Range Mental Health Center,3110 4TH AVE W,,HIBBING,MN,55746,Permanent Supportive Housing
Range Transitional Housing,4020 9th Ave West,,Hibbing,MN,55746,Other Permanent Housing
Arrowhead Economic Opportunity Agency,2125 2ND AVE E,,HIBBING,MN,55746,Emergency Shelter
Range Transitional Housing,2121 2ND AVE E,,HIBBING,MN,55746,Transitional Housing
Partners Behavioral Health Management,1985 TATE BLVD SE,,HICKORY,NC,28602,Permanent Supportive Housing
Family Care Center of Catawba,2875 HIGHLAND AVE NE,,HICKORY,NC,28601,Emergency Shelter
Salvation Army (Catawba),780 3rd Ave. SE,,Hickory,NC,28602,Transitional Housing
Salvation Army (Catawba),780 3rd Ave. SE,,Hickory,NC,28602,Emergency Shelter
Exodus Outreach Foundation (Catawba),22 8TH ST SW,,HICKORY,NC,28602,Transitional Housing
Family Care Center of Catawba,2875 Highland Avenue NE,,Hickory,NC,28601,Transitional Housing
Safe Harbor (Catawba),210 2ND ST SE,,HICKORY,NC,28602,Transitional Housing
Catholic Charities,90 CHERRY LN,,HICKSVILLE,NY,11801,Emergency Shelter
Salvation Army - High Point,301 W GREEN DR,,HIGH POINT,NC,27260,Emergency Shelter
Salvation Army - High Point,301 W GREEN DR,,HIGH POINT,NC,27260,Transitional Housing
West End Ministries,851 W ENGLISH RD,,HIGH POINT,NC,27262,Emergency Shelter
Open Door Ministries,400 N. Centennial Street,,High Point,NC,27262,Rapid Re-Housing
Open Door Ministries,400 N. Centennial Street,,High Point,NC,27262,Permanent Supportive Housing
Open Door Ministries,400 N. Centennial Street,,High Point,NC,27262,Permanent Supportive Housing
Open Door Ministries,400 N CENTENNIAL ST,,HIGH POINT,NC,27262,Emergency Shelter
Open Door Ministries,1022 TRUE LN,,HIGH POINT,NC,27260,Transitional Housing
Caring Services Inc.,102 Chestnut Drive,,High Point,NC,27262,Transitional Housing
Salvation Army Highland,2626 Pacific St.,,Highland,CA,92346,Rapid Re-Housing
Detroit Rescue Mission Ministries,13130 WOODWARD,,HIGHLAND PARK,MI,48203,Permanent Supportive Housing
Detroit Rescue Mission Ministries,91 GLENDALE ST,,HIGHLAND PARK,MI,48203,Permanent Supportive Housing
Detroit Rescue Mission Ministries,211 Glendale,,Highland Park,MI,48203,Short Term Housing
Detroit Rescue Mission Ministries,211 GLENDALE ST,,HIGHLAND PARK,MI,48203,Transitional Housing
Detroit Rescue Mission Ministries,211 GLENDALE ST,,HIGHLAND PARK,MI,48203,Transitional Housing
Detroit Rescue Mission Ministries,211 GLENDALE ST,,HIGHLAND PARK,MI,48203,Transitional Housing
Detroit Rescue Mission Ministries,211 Glendale,,HIGHLAND PARK,MI,48203,Transitional Housing
Reformed Church of Highland Park Affordable Housing Corporation,428 Cedar Ave,,Highland Park,NJ,8904,Other Permanent Housing
